"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.867596070E-1,-5.929500461E-1,6.964950562E0,6.588000298E0,9.605408581E0
1.892897590E-1,-7.410000563E-1,6.703950405E0,6.409950256E0,9.304810283E0
1.918196720E-1,-8.059500456E-1,6.606000423E0,6.487050533E0,9.293579595E0
1.943525950E-1,-6.120000482E-1,6.750000477E0,6.826950550E0,9.619995026E0
1.968799820E-1,-3.970500231E-1,6.975000381E0,7.131000519E0,9.982957850E0
1.994101340E-1,-5.830500126E-1,7.096950531E0,7.119000435E0,1.006910231E1
2.019401820E-1,-8.419500589E-1,6.951000214E0,6.987000465E0,9.891585281E0
2.044728740E-1,-8.560500145E-1,6.781050205E0,6.982950211E0,9.771236214E0
2.070004910E-1,-8.010000587E-1,6.841050148E0,7.027950287E0,9.840409212E0
2.095304120E-1,-8.320500255E-1,6.958050251E0,7.018950462E0,9.918287964E0
2.120605660E-1,-7.939500213E-1,6.862050533E0,7.026000500E0,9.853059280E0
2.145934120E-1,-6.739500165E-1,6.843000412E0,7.141050339E0,9.913398166E0
2.171208760E-1,-5.640000105E-1,6.939000130E0,7.156950474E0,9.984475895E0
2.196509510E-1,-4.800000191E-1,6.940950394E0,7.126050472E0,9.959306588E0
2.221811000E-1,-4.590000212E-1,6.958050251E0,6.970950127E0,9.859984279E0
2.247140230E-1,-5.119500160E-1,6.934050560E0,6.753000259E0,9.692582860E0
2.272411790E-1,-6.049500108E-1,6.730950356E0,6.592050076E0,9.440698142E0
2.297715610E-1,-7.650000453E-1,6.595950127E0,6.645000458E0,9.394030776E0
2.323014750E-1,-6.289500594E-1,6.565050125E0,6.958950520E0,9.587619812E0
2.348343980E-1,-3.750000298E-1,6.757050514E0,7.372950554E0,1.000793468E1
2.373617080E-1,-4.060500264E-1,7.020000458E0,7.480950356E0,1.026693242E1
2.398918600E-1,-7.030500174E-1,6.988950253E0,7.284000397E0,1.011910899E1
2.424220040E-1,-8.830500245E-1,6.687000275E0,7.189050198E0,9.857900018E0
2.449546960E-1,-8.440500498E-1,6.679950237E0,7.156950474E0,9.826296136E0
2.474820830E-1,-7.609500289E-1,6.915000439E0,7.155000210E0,9.979494176E0
2.500122350E-1,-6.840000153E-1,6.924000263E0,7.204950333E0,1.001603439E1
2.525424070E-1,-7.050000429E-1,6.735000134E0,7.204950333E0,9.887798600E0
2.550752540E-1,-6.379500031E-1,6.835950375E0,7.180950165E0,9.934950579E0
2.576026400E-1,-4.999500215E-1,6.883950233E0,7.111950397E0,9.910527700E0
2.601327920E-1,-4.399500191E-1,6.963000298E0,6.982950211E0,9.871095319E0
2.626629410E-1,-4.680000246E-1,6.994050503E0,6.765000343E0,9.741714228E0
2.651956330E-1,-5.830500126E-1,6.721050262E0,6.552000523E0,9.404316817E0
2.677230200E-1,-7.800000310E-1,6.549000263E0,6.457950115E0,9.230543006E0
2.702531720E-1,-7.290000319E-1,6.678000450E0,6.636000156E0,9.442649476E0
2.727833460E-1,-4.560000300E-1,6.783000469E0,7.038000107E0,9.785217264E0
2.753161920E-1,-4.180500209E-1,6.922050476E0,7.252950191E0,1.003468161E1
2.778435780E-1,-6.840000153E-1,7.012950420E0,7.138050556E0,1.003000974E1
2.803737300E-1,-8.659500480E-1,6.900000095E0,7.042950153E0,9.897626870E0
2.829038930E-1,-7.939500213E-1,6.747000217E0,7.087950230E0,9.817912560E0
2.854365850E-1,-6.840000153E-1,6.907950401E0,7.093050480E0,9.924666235E0
